timestamp,pic index,text,frame_path
2024-01-24-01:33:38,0,Image size: 9.5MB Timestamp: 040:6696 (2024-01-24-01:33:38 UTO) GPS Tene 0 P76: 0 Chis fh. | No GPS position | ‘Gomwersian Ra 23 les: | Canent image 012007 | OA Kev 7 12807 | Slenter36: Gan'D: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0000.jpg
2024-01-24-01:33:43,1,Image size: 8.6MB Timestamp: 045:6556 (2024-01-24-01:33:43 UTC) GPS Tene 0 P76: 0 Chis th. | No GPS position | ‘Gomwersian Raw 23 les: | Cane ime 7712807 | ON Kemet 7 12807 | Slenter.36: Gan'D: Gane 100.,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0068.jpg
2024-01-24-01:33:49,3,Image size: 7.8MB Timestamp: 051:4984 (2024-01-24-01:33:49 UTC) GPS Tene 0 PP6:0 Chis th. | No GPS position | ‘Gomwersian Ra G0 ies: | Canrent image: 3712807 | ON Kev 7 12807 | Slentes 8% Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0090.jpg
2024-01-24-01:33:53,5,Image size: 8.5MB Timestamp: 055:6431 (2024-01-24-01:33:53 UTC). GPS Tene: 0 P76: 0 Chis th. | No GPS position | ‘Gomwersian Ra 00fs: | Canent image SF 12007 | ON Kev Of 12807 | Slenter 37 Gand: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0108.jpg
2024-01-24-01:33:55,,Image size: 8.6MB Timestamp: 057:3252 (2024-01-24-01:33:55 UTC) GPS Tene: 0 PP: 0 Chis fh. | No GPS position | ‘Gomwersian Ra 00 fs | Canent image 6 s12007 | ON Kev OO 7 12807 | Slenter 37 Gand: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0114.jpg
2024-01-24-01:33:56,7,Image size: 8.7MB Timestamp: 058:6944 (2024-01-24-01:33:56 UTC) GPS Tene 0 PP 0 Chis th. | No GPS position | ‘Gomwersian Ra 00 fs: | Canent image 7 12007 | OR Kev Of 12807 | Slater 37 Gan'D: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0122.jpg
2024-01-24-01:33:58,8,Image size: 8.7MB Timestamp: 060:2077 (2024-01-24-01:33:58 UTC). GPS Tene: 0 P60 Chis th. | No GPS position | ‘Gomwersian Ra 00 fos: | Conent image 872 12807 | ON Kev 7 12807 | Slates 87 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0130.jpg
2024-01-24-01:33:59,9,Image size: 7.9MB Timestamp: 061:5232 (2024-01-24-01:33:59 UTC) GPS Tene 0 PP6:0 Chis th. | No GPS position | ‘Gowersian Ra 6.1 fos: | Canent image 912807 | OR Keim 7 12807 | Slater 87 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0138.jpg
2024-01-24-01:34:02,1,Image size: 9.0MB Timestamp: 064:3604 (2024-01-24-01:34:02 UTC) (GPS Tene: 0: P2S-0. Caskey 6 | No GPS poston | ‘Ganversicn Rae: 0:1 fos | Gurent mane 41212807 | UR KevkamectO 712807 | Slester 60 Gant: Gann 1400.,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0154.jpg
2024-01-24-01:34:03,1,Image size: 8.2MB Timestamp: 065:6230 (2024-01-24-01:34:03 UTC) GBS Tne 0: 976-0 Candee | No GPt postion | ‘Gomwerdion e611 fos: | Garren image 12 2 12807 | UR Kemet 12807 | Slenter $0 Gant: Gane 1400.,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0162.jpg
